OBJECTID,PSMFC_Code,ALPHA5,Common_Name,RecfinTT,TripType_Description,Group
486,8101000000,SSTAR,sea star                      ,8,Invertebrates,
487,8835380102,TRTPA,pacific tripletail            ,5,Inshore,
488,8839010707,WRARB,rainbow wrasse                ,3,Bottomfish,
489,8835020400,GRPGN,grouper genus (Epinephelus),3,Bottomfish,
490,8835020403,GRPSC,spotted cabrilla,3,Bottomfish,
491,8835020448,GRPSS,star-studded grouper,3,Bottomfish,
492,8835220106,TFPGE,Pacific golden-eyed tilefish,3,Bottomfish,
493,8835020443,GRPGC,Gulf Coney,3,Bottomfish,
494,8835022317,SBDWS,Deepwater serrano,3,Bottomfish,
495,8850010301,ESCLR,Escolar,2,Highly migratory,
496,8792010101,BRORD,red brotula,3,Bottomfish,
497,8835021205,SBHKT,Hookthroat bass,3,Bottomfish,
498,8840140303,SMGAZ,Smooth Stargazer,3,Bottomfish,
499,8847013001,BOGCM,chameleon goby,5,Inshore,
500,8835280305,JACGR,green jack,7,Anything,
501,8826010204,RFBKS,Blackspotted rockfish,3,Bottomfish,
502,8826010167,RFDRD,Dwarf-red rockfish,3,Bottomfish,
503,8826010136,RFHQN,Harlequin rockfish,3,Bottomfish,
504,8826010171,RFSMR,Semaphore rockfish,3,Bottomfish,
505,5706010101,SQDMK,market squid,8,Invertebrates,
506,8708030102,,smooth hammerhead shark,2,Highly migratory,
